Flag,CompID,IndType,FiscYear,TA,Z1,Z2,Z3,Z4,Z5,ST,year,DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA,M-Score1,DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA,M-Score2,DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA,M-Score3
1,2306,13,1999,1.17E+08,0.16461,0.12112,0.07546,5.3403,1.552,3.409690403,1999,0.983624091,1.048617506,0.887188401,1.068792814,0.9296378,0.907056016,0.97696078,0.041070017,-2.246013339,0.814614313,1.042466987,1.243417541,1.235281081,0.820734335,1.045745257,0.936410344,-0.010066813,-2.374713387,1.767117474,1.025686811,0.903946246,1.192145442,1.268868021,0.912277709,1.145618766,-0.042351372,-1.82787262
1,1209,2,1999,8.07E+06,-0.25527,-0.24556,-0.17253,0.35942,0.60373,-1.579204748,1999,1.957344733,0.814432661,0.884214691,0.846245932,1.040560096,0.953727141,1.022905463,-0.123753377,-2.455057089,1.044327818,1.255364155,0.755536311,0.941503532,1.699700132,1.309438927,1.559506489,-0.134184276,-3.238893145,0.743344874,1.01822111,1.287024992,1.221657913,1.038229217,0.877068229,1.727355931,-0.155250742,-3.331548003
1,1225,2,1999,3.48E+06,-0.024308,-0.1498,0.024525,0.56153,1.2543,-1.37122851,1999,1.290541036,0.907897782,0.845380304,0.991419971,0.861961595,0.902916857,1.009166362,-0.017196702,-2.414088847,0.499905919,1.185654632,2.492936255,0.997247273,1.185028173,1.229655484,1.028858248,-0.214035985,-3.270503616,1.708055887,1.185205782,1.412260857,1.166698482,0.824256153,0.999801896,1.763763448,-0.011903597,-1.741175545
1,1203,2,2001,7.24E+06,-0.088714,-0.024157,-0.011928,0.10319,0.42159,-1.827029733,2001,0.959324233,0.888007348,1.050309141,0.772272158,1.341878702,1.111215285,0.890680474,-0.051032621,-2.942209294,0.882222971,1.041796269,1.153615434,1.09451985,0.690642689,0.995782802,1.781939047,-0.039938551,-2.897331377,1.042170457,1.00948269,1.118667876,0.92896466,1.095982175,0.945909546,0.922009058,-0.043557561,-2.609579303
1,1207,2,2002,3.31E+07,-0.12808,-0.092506,-0.018307,0.18991,0.28672,-1.741060614,2002,0.694668086,0.321069924,1.017868659,1.073452243,0.960825379,0.959153762,0.960461241,-0.056756964,-3.29675829,0.894669468,1.618919906,1.032601083,0.909981007,0.833728198,1.161684726,1.315685406,-0.012393303,-2.525388906,1.001035306,1.349775565,1.133061089,1.043579223,1.006261347,1.00546964,1.541667603,-0.04926307,-2.609584606
1,1221,2,2001,4.71E+06,0.13398,0.087327,0.10781,1.6639,1.3232,-0.263702875,2001,1.961660745,1.541208455,0.888054772,2.258727475,1.038286105,0.559452804,1.188719628,0.014551902,-0.145400964,1.010105912,1.038204012,0.920806478,1.347673816,1.207538885,1.04102362,0.909839471,-0.068222448,-2.445319415,0.802650853,0.903924572,1.006931339,0.992016257,1.155940379,1.0566396,1.384378924,-0.103170047,-3.316843704
1,1201,2,2013,3.80E+07,0.12186,0.08278,0.035452,1.001,0.76807,-0.923890988,2013,0.86796501,1.007301173,1.195237772,1.096469391,0.900325794,0.991571419,0.959824471,-0.025096132,-2.546990638,1.09054113,1.099525864,0.848417409,1.038715686,1.067736708,0.85870883,2.735748575,-0.032399466,-3.05795256,1.155424681,1.015639238,1.220675264,1.089225277,1.141607527,0.992187096,1.080712015,-0.040383294,-2.3577276
1,1204,2,2004,7.21E+05,0.10075,-0.10075,-0.060556,0.53987,1.3411,-1.38946088,2004,1.018967481,0.89878501,0.684466364,1.378142315,1.514056306,0.810618727,1.269353406,0.002786149,-2.289516195,1.018213003,0.896020743,1.249719126,0.863071928,0.666887007,1.414932307,1.037297524,-0.053764645,-2.912835815,1.131900621,0.86200785,1.119908842,1.005418854,1.142866126,1.1001097,0.973121838,-0.084173837,-2.764083981
1,4415,2,2006,8.26E+05,-0.10698,-0.49405,-0.13701,3.4011,0.18664,1.46838337,2006,1.575767374,-4.284460244,2.058456345,0.427829457,0.845835656,1.586077613,0.651580922,0.139941776,-4.173062428,0.794571618,-0.750369101,1.558129784,0.627045478,1.206170194,1.660562834,1.027581453,-0.12166785,-4.36859024,1.069204481,0.71904932,0.789167228,0.919498524,0.873802375,0.975918361,1.37198161,-0.144207131,-3.528411431
1,1314,3,1999,5.32E+07,-0.098266,0.016466,0.0037912,0.62651,0.22317,-1.303161083,1999,1.047071963,1.930712585,0.832073055,1.101798377,1.142146299,1.337162277,1.24470265,-0.072905633,-2.385104195,1.036248452,2.5621107,1.218029595,0.891086105,1.031981311,1.063284777,1.000666034,0.009345057,-1.594623615,1.197519692,1.175524373,0.99689617,1.049133802,1.266761465,1.096711755,1.53184477,-0.079950971,-2.696992298
